Timestamp,Event,VM_ID
1741028087.912,Network: Listening on 127.0.0.1:5003,3
1741028088.010,"Network: Accepted connection from ('127.0.0.1', 61586)",3
1741028088.022,"Network: Accepted connection from ('127.0.0.1', 61588)",3
1741028088.030,Network: Connected to peer VM 1 at 127.0.0.1:5001,3
1741028088.035,Network: Connected to peer VM 2 at 127.0.0.1:5002,3
1741028088.036,Internal event: clock ticked to 1.,3
1741028088.048,Sent message to VM 1: clock is now 2.,3
1741028088.048,Sent message to VM 2: clock is now 3.,3
1741028088.061,Sent message to VM 1: clock is now 4.,3
1741028088.074,Internal event: clock ticked to 5.,3
1741028088.086,Sent message to VM 2: clock is now 6.,3
1741028088.099,Internal event: clock ticked to 7.,3
1741028088.109,Internal event: clock ticked to 8.,3
1741028088.121,Sent message to VM 1: clock is now 9.,3
1741028088.121,Sent message to VM 2: clock is now 10.,3
1741028088.132,Internal event: clock ticked to 11.,3
1741028088.143,Internal event: clock ticked to 12.,3
1741028088.154,Internal event: clock ticked to 13.,3
1741028088.167,Internal event: clock ticked to 14.,3
1741028088.179,Internal event: clock ticked to 15.,3
1741028088.192,Internal event: clock ticked to 16.,3
1741028088.205,Internal event: clock ticked to 17.,3
1741028088.217,Sent message to VM 2: clock is now 18.,3
1741028088.230,Sent message to VM 2: clock is now 19.,3
1741028088.243,Sent message to VM 1: clock is now 20.,3
1741028088.255,Sent message to VM 1: clock is now 21.,3
1741028088.267,Internal event: clock ticked to 22.,3
1741028088.280,Sent message to VM 1: clock is now 23.,3
1741028088.281,Sent message to VM 2: clock is now 24.,3
1741028088.292,Internal event: clock ticked to 25.,3
1741028088.305,Internal event: clock ticked to 26.,3
1741028088.318,Internal event: clock ticked to 27.,3
1741028088.330,Internal event: clock ticked to 28.,3
1741028088.341,Internal event: clock ticked to 29.,3
1741028088.351,Internal event: clock ticked to 30.,3
1741028088.364,Internal event: clock ticked to 31.,3
1741028088.376,Internal event: clock ticked to 32.,3
1741028088.388,Sent message to VM 1: clock is now 33.,3
1741028088.400,Sent message to VM 1: clock is now 34.,3
1741028088.413,Sent message to VM 2: clock is now 35.,3
1741028088.426,Internal event: clock ticked to 36.,3
1741028088.439,Internal event: clock ticked to 37.,3
1741028088.451,Sent message to VM 1: clock is now 38.,3
1741028088.451,Sent message to VM 2: clock is now 39.,3
1741028088.464,Sent message to VM 1: clock is now 40.,3
1741028088.476,Internal event: clock ticked to 41.,3
1741028088.487,Sent message to VM 1: clock is now 42.,3
1741028088.500,Internal event: clock ticked to 43.,3
1741028088.510,Sent message to VM 1: clock is now 44.,3
1741028088.511,Sent message to VM 2: clock is now 45.,3
1741028088.523,Internal event: clock ticked to 46.,3
1741028088.533,Internal event: clock ticked to 47.,3
1741028088.544,Internal event: clock ticked to 48.,3
1741028088.556,Sent message to VM 1: clock is now 49.,3
1741028088.569,Sent message to VM 2: clock is now 50.,3
1741028088.582,Internal event: clock ticked to 51.,3
1741028088.594,Internal event: clock ticked to 52.,3
1741028088.606,Internal event: clock ticked to 53.,3
1741028088.619,Sent message to VM 1: clock is now 54.,3
1741028088.632,Internal event: clock ticked to 55.,3
1741028088.644,Internal event: clock ticked to 56.,3
1741028088.657,Internal event: clock ticked to 57.,3
1741028088.669,Sent message to VM 1: clock is now 58.,3
1741028088.670,Sent message to VM 2: clock is now 59.,3
1741028088.681,Sent message to VM 2: clock is now 60.,3
1741028088.694,Sent message to VM 1: clock is now 61.,3
1741028088.706,Internal event: clock ticked to 62.,3
