Timestamp,Event,VM_ID
1740947586.564,Network: Listening on 127.0.0.1:5003,3
1740947586.581,"Network: Accepted connection from ('127.0.0.1', 57503)",3
1740947586.597,"Network: Accepted connection from ('127.0.0.1', 57505)",3
1740947586.604,Network: Connected to peer VM 1 at 127.0.0.1:5001,3
1740947586.611,Network: Connected to peer VM 2 at 127.0.0.1:5002,3
1740947586.612,Internal event: clock ticked to 1.,3
1740947587.117,Received message: updated clock to 3. Queue length: 0,3
1740947587.622,Received message: updated clock to 5. Queue length: 0,3
1740947588.127,Internal event: clock ticked to 6.,3
1740947588.628,Sent message to VM 2: clock is now 7.,3
1740947589.133,Internal event: clock ticked to 8.,3
1740947589.638,Received message: updated clock to 9. Queue length: 0,3
1740947590.143,Received message: updated clock to 11. Queue length: 0,3
1740947590.649,Received message: updated clock to 12. Queue length: 0,3
1740947591.155,Received message: updated clock to 13. Queue length: 0,3
1740947591.662,Sent message to VM 2: clock is now 14.,3
1740947592.167,Internal event: clock ticked to 15.,3
1740947592.672,Received message: updated clock to 17. Queue length: 0,3
1740947593.175,Received message: updated clock to 19. Queue length: 0,3
1740947593.680,Received message: updated clock to 20. Queue length: 0,3
1740947594.183,Internal event: clock ticked to 21.,3
1740947594.688,Internal event: clock ticked to 22.,3
1740947595.193,Received message: updated clock to 23. Queue length: 0,3
1740947595.696,Received message: updated clock to 24. Queue length: 0,3
1740947596.201,Internal event: clock ticked to 25.,3
1740947596.706,Sent message to VM 1: clock is now 26.,3
1740947597.210,Sent message to VM 1: clock is now 27.,3
1740947597.210,Sent message to VM 2: clock is now 28.,3
1740947597.715,Internal event: clock ticked to 29.,3
1740947598.218,Internal event: clock ticked to 30.,3
1740947598.723,Received message: updated clock to 32. Queue length: 0,3
1740947599.228,Internal event: clock ticked to 33.,3
1740947599.730,Sent message to VM 2: clock is now 34.,3
1740947600.234,Internal event: clock ticked to 35.,3
1740947600.739,Internal event: clock ticked to 36.,3
1740947601.241,Internal event: clock ticked to 37.,3
1740947601.745,Internal event: clock ticked to 38.,3
1740947602.250,Internal event: clock ticked to 39.,3
1740947602.752,Internal event: clock ticked to 40.,3
1740947603.253,Received message: updated clock to 41. Queue length: 0,3
1740947603.758,Received message: updated clock to 42. Queue length: 0,3
1740947604.261,Internal event: clock ticked to 43.,3
1740947604.766,Internal event: clock ticked to 44.,3
1740947605.267,Received message: updated clock to 46. Queue length: 0,3
1740947605.772,Internal event: clock ticked to 47.,3
1740947606.278,Sent message to VM 2: clock is now 48.,3
1740947606.784,Sent message to VM 1: clock is now 49.,3
1740947607.286,Internal event: clock ticked to 50.,3
1740947607.789,Internal event: clock ticked to 51.,3
1740947608.289,Internal event: clock ticked to 52.,3
1740947608.794,Internal event: clock ticked to 53.,3
1740947609.299,Internal event: clock ticked to 54.,3
1740947609.804,Received message: updated clock to 56. Queue length: 0,3
1740947610.305,Received message: updated clock to 58. Queue length: 0,3
1740947610.809,Internal event: clock ticked to 59.,3
1740947611.314,Internal event: clock ticked to 60.,3
1740947611.815,Internal event: clock ticked to 61.,3
1740947612.320,Received message: updated clock to 64. Queue length: 0,3
1740947612.821,Internal event: clock ticked to 65.,3
1740947613.326,Received message: updated clock to 67. Queue length: 0,3
1740947613.828,Internal event: clock ticked to 68.,3
1740947614.329,Internal event: clock ticked to 69.,3
1740947614.829,Internal event: clock ticked to 70.,3
1740947615.334,Internal event: clock ticked to 71.,3
1740947615.836,Internal event: clock ticked to 72.,3
1740947616.340,Received message: updated clock to 73. Queue length: 0,3
1740947616.841,Internal event: clock ticked to 74.,3
1740947617.342,Received message: updated clock to 76. Queue length: 0,3
1740947617.842,Internal event: clock ticked to 77.,3
1740947618.348,Sent message to VM 1: clock is now 78.,3
1740947618.348,Sent message to VM 2: clock is now 79.,3
1740947618.850,Internal event: clock ticked to 80.,3
1740947619.353,Received message: updated clock to 83. Queue length: 0,3
1740947619.857,Internal event: clock ticked to 84.,3
1740947620.357,Received message: updated clock to 86. Queue length: 0,3
1740947620.858,Internal event: clock ticked to 87.,3
1740947621.364,Internal event: clock ticked to 88.,3
1740947621.869,Received message: updated clock to 90. Queue length: 0,3
1740947622.370,Internal event: clock ticked to 91.,3
1740947622.871,Internal event: clock ticked to 92.,3
1740947623.376,Sent message to VM 1: clock is now 93.,3
1740947623.376,Sent message to VM 2: clock is now 94.,3
1740947623.878,Sent message to VM 1: clock is now 95.,3
1740947624.383,Sent message to VM 2: clock is now 96.,3
1740947624.888,Sent message to VM 2: clock is now 97.,3
1740947625.394,Sent message to VM 1: clock is now 98.,3
1740947625.899,Internal event: clock ticked to 99.,3
1740947626.404,Internal event: clock ticked to 100.,3
1740947626.907,Received message: updated clock to 103. Queue length: 0,3
1740947627.412,Sent message to VM 1: clock is now 104.,3
1740947627.913,Internal event: clock ticked to 105.,3
1740947628.417,Sent message to VM 1: clock is now 106.,3
1740947628.920,Sent message to VM 1: clock is now 107.,3
1740947628.920,Sent message to VM 2: clock is now 108.,3
1740947629.425,Internal event: clock ticked to 109.,3
1740947629.925,Received message: updated clock to 110. Queue length: 1,3
1740947630.429,Received message: updated clock to 112. Queue length: 0,3
1740947630.933,Received message: updated clock to 113. Queue length: 1,3
1740947631.437,Received message: updated clock to 114. Queue length: 0,3
1740947631.941,Received message: updated clock to 116. Queue length: 0,3
1740947632.446,Sent message to VM 1: clock is now 117.,3
1740947632.949,Internal event: clock ticked to 118.,3
1740947633.451,Sent message to VM 1: clock is now 119.,3
1740947633.451,Sent message to VM 2: clock is now 120.,3
1740947633.955,Internal event: clock ticked to 121.,3
1740947634.459,Received message: updated clock to 122. Queue length: 0,3
1740947634.964,Internal event: clock ticked to 123.,3
1740947635.468,Internal event: clock ticked to 124.,3
1740947635.972,Internal event: clock ticked to 125.,3
1740947636.478,Sent message to VM 1: clock is now 126.,3
1740947636.478,Sent message to VM 2: clock is now 127.,3
1740947636.983,Internal event: clock ticked to 128.,3
1740947637.488,Received message: updated clock to 130. Queue length: 0,3
1740947637.991,Internal event: clock ticked to 131.,3
1740947638.493,Internal event: clock ticked to 132.,3
1740947638.997,Internal event: clock ticked to 133.,3
1740947639.501,Internal event: clock ticked to 134.,3
1740947640.007,Received message: updated clock to 136. Queue length: 0,3
1740947640.509,Internal event: clock ticked to 137.,3
1740947641.014,Internal event: clock ticked to 138.,3
1740947641.519,Internal event: clock ticked to 139.,3
1740947642.025,Internal event: clock ticked to 140.,3
1740947642.526,Sent message to VM 1: clock is now 141.,3
1740947643.028,Internal event: clock ticked to 142.,3
1740947643.533,Sent message to VM 1: clock is now 143.,3
1740947643.533,Sent message to VM 2: clock is now 144.,3
1740947644.039,Internal event: clock ticked to 145.,3
1740947644.540,Sent message to VM 2: clock is now 146.,3
1740947645.042,Sent message to VM 1: clock is now 147.,3
1740947645.546,Internal event: clock ticked to 148.,3
1740947646.051,Received message: updated clock to 151. Queue length: 0,3
1740947646.554,Internal event: clock ticked to 152.,3
1740947647.056,Internal event: clock ticked to 153.,3
1740947647.559,Sent message to VM 2: clock is now 154.,3
1740947648.062,Internal event: clock ticked to 155.,3
1740947648.568,Received message: updated clock to 157. Queue length: 1,3
1740947649.073,Received message: updated clock to 158. Queue length: 0,3
1740947649.578,Internal event: clock ticked to 159.,3
1740947650.079,Sent message to VM 2: clock is now 160.,3
1740947650.582,Received message: updated clock to 163. Queue length: 0,3
1740947651.087,Received message: updated clock to 164. Queue length: 0,3
1740947651.593,Sent message to VM 1: clock is now 165.,3
1740947652.098,Internal event: clock ticked to 166.,3
1740947652.603,Internal event: clock ticked to 167.,3
1740947653.108,Sent message to VM 1: clock is now 168.,3
1740947653.613,Internal event: clock ticked to 169.,3
1740947654.114,Internal event: clock ticked to 170.,3
1740947654.619,Sent message to VM 2: clock is now 171.,3
1740947655.125,Internal event: clock ticked to 172.,3
1740947655.629,Internal event: clock ticked to 173.,3
1740947656.131,Internal event: clock ticked to 174.,3
1740947656.636,Internal event: clock ticked to 175.,3
