Timestamp,Event,VM_ID
1741114644.424,Network: Listening on 127.0.0.1:5003,3
1741114644.458,Network: Connected to peer VM 1 at 127.0.0.1:5001,3
1741114644.477,Network: Connected to peer VM 2 at 127.0.0.1:5002,3
1741114644.477,CLOCK_UPDATE: 1; EVENT: INTERNAL,3
1741114644.477,"Network: Accepted connection from ('127.0.0.1', 51536)",3
1741114644.477,"Network: Accepted connection from ('127.0.0.1', 51537)",3
1741114645.482,CLOCK_UPDATE: 5; EVENT: RECEIVED; QUEUE: 1,3
1741114646.487,CLOCK_UPDATE: 6; EVENT: RECEIVED; QUEUE: 3,3
1741114647.489,CLOCK_UPDATE: 7; EVENT: RECEIVED; QUEUE: 4,3
1741114648.494,CLOCK_UPDATE: 8; EVENT: RECEIVED; QUEUE: 3,3
1741114649.497,CLOCK_UPDATE: 11; EVENT: RECEIVED; QUEUE: 2,3
1741114650.498,CLOCK_UPDATE: 13; EVENT: RECEIVED; QUEUE: 2,3
1741114651.498,CLOCK_UPDATE: 16; EVENT: RECEIVED; QUEUE: 3,3
1741114652.503,CLOCK_UPDATE: 26; EVENT: RECEIVED; QUEUE: 3,3
1741114653.509,CLOCK_UPDATE: 29; EVENT: RECEIVED; QUEUE: 2,3
1741114654.510,CLOCK_UPDATE: 37; EVENT: RECEIVED; QUEUE: 1,3
1741114655.510,CLOCK_UPDATE: 42; EVENT: RECEIVED; QUEUE: 1,3
1741114656.511,CLOCK_UPDATE: 57; EVENT: RECEIVED; QUEUE: 2,3
1741114657.514,CLOCK_UPDATE: 62; EVENT: RECEIVED; QUEUE: 2,3
1741114658.515,CLOCK_UPDATE: 64; EVENT: RECEIVED; QUEUE: 3,3
1741114659.520,CLOCK_UPDATE: 66; EVENT: RECEIVED; QUEUE: 3,3
1741114660.526,CLOCK_UPDATE: 72; EVENT: RECEIVED; QUEUE: 3,3
1741114661.529,CLOCK_UPDATE: 75; EVENT: RECEIVED; QUEUE: 3,3
1741114662.531,CLOCK_UPDATE: 82; EVENT: RECEIVED; QUEUE: 3,3
1741114663.535,CLOCK_UPDATE: 87; EVENT: RECEIVED; QUEUE: 3,3
1741114664.541,CLOCK_UPDATE: 93; EVENT: RECEIVED; QUEUE: 4,3
1741114665.546,CLOCK_UPDATE: 97; EVENT: RECEIVED; QUEUE: 5,3
1741114666.551,CLOCK_UPDATE: 100; EVENT: RECEIVED; QUEUE: 5,3
1741114667.554,CLOCK_UPDATE: 102; EVENT: RECEIVED; QUEUE: 5,3
1741114668.554,CLOCK_UPDATE: 106; EVENT: RECEIVED; QUEUE: 4,3
1741114669.557,CLOCK_UPDATE: 110; EVENT: RECEIVED; QUEUE: 3,3
1741114670.562,CLOCK_UPDATE: 111; EVENT: RECEIVED; QUEUE: 5,3
1741114671.567,CLOCK_UPDATE: 118; EVENT: RECEIVED; QUEUE: 6,3
1741114672.568,CLOCK_UPDATE: 122; EVENT: RECEIVED; QUEUE: 6,3
1741114673.569,CLOCK_UPDATE: 138; EVENT: RECEIVED; QUEUE: 6,3
1741114674.571,CLOCK_UPDATE: 140; EVENT: RECEIVED; QUEUE: 7,3
1741114675.576,CLOCK_UPDATE: 142; EVENT: RECEIVED; QUEUE: 7,3
1741114676.581,CLOCK_UPDATE: 145; EVENT: RECEIVED; QUEUE: 8,3
1741114677.586,CLOCK_UPDATE: 147; EVENT: RECEIVED; QUEUE: 8,3
1741114678.591,CLOCK_UPDATE: 148; EVENT: RECEIVED; QUEUE: 7,3
1741114679.594,CLOCK_UPDATE: 156; EVENT: RECEIVED; QUEUE: 7,3
1741114680.595,CLOCK_UPDATE: 157; EVENT: RECEIVED; QUEUE: 6,3
1741114681.600,CLOCK_UPDATE: 162; EVENT: RECEIVED; QUEUE: 5,3
1741114682.603,CLOCK_UPDATE: 166; EVENT: RECEIVED; QUEUE: 6,3
1741114683.608,CLOCK_UPDATE: 169; EVENT: RECEIVED; QUEUE: 6,3
1741114684.612,CLOCK_UPDATE: 171; EVENT: RECEIVED; QUEUE: 7,3
1741114685.612,CLOCK_UPDATE: 174; EVENT: RECEIVED; QUEUE: 7,3
1741114686.616,CLOCK_UPDATE: 185; EVENT: RECEIVED; QUEUE: 9,3
1741114687.620,CLOCK_UPDATE: 200; EVENT: RECEIVED; QUEUE: 10,3
1741114688.625,CLOCK_UPDATE: 203; EVENT: RECEIVED; QUEUE: 10,3
1741114689.628,CLOCK_UPDATE: 209; EVENT: RECEIVED; QUEUE: 9,3
1741114690.633,CLOCK_UPDATE: 210; EVENT: RECEIVED; QUEUE: 9,3
1741114691.638,CLOCK_UPDATE: 213; EVENT: RECEIVED; QUEUE: 10,3
1741114692.643,CLOCK_UPDATE: 219; EVENT: RECEIVED; QUEUE: 10,3
1741114693.644,CLOCK_UPDATE: 223; EVENT: RECEIVED; QUEUE: 9,3
1741114694.649,CLOCK_UPDATE: 225; EVENT: RECEIVED; QUEUE: 9,3
1741114695.651,CLOCK_UPDATE: 226; EVENT: RECEIVED; QUEUE: 8,3
1741114696.657,CLOCK_UPDATE: 227; EVENT: RECEIVED; QUEUE: 7,3
1741114697.659,CLOCK_UPDATE: 229; EVENT: RECEIVED; QUEUE: 6,3
1741114698.664,CLOCK_UPDATE: 238; EVENT: RECEIVED; QUEUE: 5,3
1741114699.666,CLOCK_UPDATE: 248; EVENT: RECEIVED; QUEUE: 4,3
1741114700.672,CLOCK_UPDATE: 250; EVENT: RECEIVED; QUEUE: 3,3
1741114701.676,CLOCK_UPDATE: 253; EVENT: RECEIVED; QUEUE: 2,3
1741114702.681,CLOCK_UPDATE: 261; EVENT: RECEIVED; QUEUE: 3,3
1741114703.686,CLOCK_UPDATE: 263; EVENT: RECEIVED; QUEUE: 3,3
1741114644.424,Network: Listening on 127.0.0.1:5002,2
1741114644.458,Network: Connected to peer VM 1 at 127.0.0.1:5001,2
1741114644.458,"Network: Accepted connection from ('127.0.0.1', 51531)",2
1741114644.477,Network: Connected to peer VM 3 at 127.0.0.1:5003,2
1741114644.477,CLOCK_UPDATE: 1; EVENT: INTERNAL,2
1741114644.477,"Network: Accepted connection from ('127.0.0.1', 51538)",2
1741114644.982,CLOCK_UPDATE: 3; EVENT: RECEIVED; QUEUE: 0,2
1741114645.487,CLOCK_UPDATE: 4; EVENT: SENT; TARGET: 3,2
1741114645.992,CLOCK_UPDATE: 9; EVENT: RECEIVED; QUEUE: 0,2
