Timestamp,Event,VM_ID
1741112752.868,Network: Listening on 127.0.0.1:5003,3
1741112752.899,Network: Connected to peer VM 1 at 127.0.0.1:5001,3
1741112752.912,Network: Connected to peer VM 2 at 127.0.0.1:5002,3
1741112752.913,Internal event: clock ticked to 1.,3
1741112752.913,"Network: Accepted connection from ('127.0.0.1', 61759)",3
1741112752.913,"Network: Accepted connection from ('127.0.0.1', 61760)",3
1741112753.251,Received message: updated clock to 2. Queue length: 1,3
1741112753.585,Received message: updated clock to 3. Queue length: 0,3
1741112753.921,Internal event: clock ticked to 4.,3
1741112754.257,Received message: updated clock to 7. Queue length: 0,3
1741112754.593,Received message: updated clock to 9. Queue length: 0,3
1741112754.929,Received message: updated clock to 11. Queue length: 0,3
1741112755.265,Received message: updated clock to 13. Queue length: 0,3
1741112755.602,Sent message to VM 1: clock is now 14.,3
1741112755.602,Sent message to VM 2: clock is now 15.,3
1741112755.937,Internal event: clock ticked to 16.,3
1741112756.275,Internal event: clock ticked to 17.,3
1741112756.614,Received message: updated clock to 20. Queue length: 0,3
1741112756.949,Internal event: clock ticked to 21.,3
1741112757.287,Received message: updated clock to 24. Queue length: 0,3
1741112757.626,Sent message to VM 1: clock is now 25.,3
1741112757.965,Internal event: clock ticked to 26.,3
1741112758.301,Received message: updated clock to 27. Queue length: 1,3
1741112758.634,Received message: updated clock to 28. Queue length: 0,3
1741112758.972,Received message: updated clock to 33. Queue length: 0,3
1741112759.311,Received message: updated clock to 36. Queue length: 0,3
1741112759.650,Received message: updated clock to 38. Queue length: 0,3
1741112759.988,Internal event: clock ticked to 39.,3
1741112760.325,Received message: updated clock to 41. Queue length: 1,3
1741112760.664,Received message: updated clock to 43. Queue length: 1,3
1741112761.001,Received message: updated clock to 44. Queue length: 0,3
1741112761.340,Internal event: clock ticked to 45.,3
1741112761.676,Received message: updated clock to 49. Queue length: 0,3
1741112762.011,Received message: updated clock to 51. Queue length: 0,3
1741112762.350,Received message: updated clock to 54. Queue length: 0,3
1741112762.687,Received message: updated clock to 56. Queue length: 0,3
1741112763.025,Received message: updated clock to 58. Queue length: 0,3
1741112763.361,Internal event: clock ticked to 59.,3
1741112763.696,Received message: updated clock to 62. Queue length: 0,3
1741112764.035,Received message: updated clock to 64. Queue length: 0,3
1741112764.369,Received message: updated clock to 66. Queue length: 0,3
1741112764.707,Internal event: clock ticked to 67.,3
1741112765.045,Internal event: clock ticked to 68.,3
1741112765.380,Received message: updated clock to 71. Queue length: 0,3
1741112765.719,Internal event: clock ticked to 72.,3
1741112766.057,Received message: updated clock to 73. Queue length: 0,3
1741112766.396,Received message: updated clock to 76. Queue length: 0,3
1741112766.733,Received message: updated clock to 78. Queue length: 0,3
1741112767.068,Sent message to VM 1: clock is now 79.,3
1741112767.402,Sent message to VM 1: clock is now 80.,3
1741112767.740,Internal event: clock ticked to 81.,3
1741112768.074,Internal event: clock ticked to 82.,3
1741112768.411,Internal event: clock ticked to 83.,3
1741112768.749,Received message: updated clock to 86. Queue length: 0,3
1741112769.088,Internal event: clock ticked to 87.,3
1741112769.423,Internal event: clock ticked to 88.,3
1741112769.762,Sent message to VM 1: clock is now 89.,3
1741112769.762,Sent message to VM 2: clock is now 90.,3
1741112770.100,Internal event: clock ticked to 91.,3
1741112770.439,Sent message to VM 1: clock is now 92.,3
1741112770.775,Received message: updated clock to 97. Queue length: 1,3
1741112771.114,Received message: updated clock to 98. Queue length: 1,3
1741112771.450,Received message: updated clock to 100. Queue length: 1,3
1741112771.787,Received message: updated clock to 101. Queue length: 1,3
1741112772.122,Received message: updated clock to 103. Queue length: 0,3
1741112772.460,Received message: updated clock to 106. Queue length: 0,3
1741112772.799,Received message: updated clock to 107. Queue length: 0,3
1741112773.136,Sent message to VM 1: clock is now 108.,3
1741112773.472,Internal event: clock ticked to 109.,3
1741112773.810,Internal event: clock ticked to 110.,3
1741112774.149,Sent message to VM 2: clock is now 111.,3
1741112774.487,Internal event: clock ticked to 112.,3
1741112774.822,Received message: updated clock to 115. Queue length: 2,3
1741112775.157,Received message: updated clock to 118. Queue length: 1,3
1741112775.491,Received message: updated clock to 120. Queue length: 1,3
1741112775.825,Received message: updated clock to 123. Queue length: 1,3
1741112776.163,Received message: updated clock to 124. Queue length: 0,3
1741112776.501,Received message: updated clock to 129. Queue length: 0,3
1741112776.836,Received message: updated clock to 130. Queue length: 0,3
1741112777.173,Received message: updated clock to 132. Queue length: 0,3
1741112777.510,Internal event: clock ticked to 133.,3
1741112777.848,Received message: updated clock to 136. Queue length: 1,3
1741112778.185,Received message: updated clock to 137. Queue length: 0,3
1741112778.524,Sent message to VM 2: clock is now 138.,3
1741112778.862,Received message: updated clock to 142. Queue length: 0,3
1741112779.200,Internal event: clock ticked to 143.,3
1741112779.534,Internal event: clock ticked to 144.,3
1741112779.871,Received message: updated clock to 147. Queue length: 0,3
1741112780.205,Internal event: clock ticked to 148.,3
1741112780.541,Received message: updated clock to 151. Queue length: 0,3
1741112780.880,Sent message to VM 2: clock is now 152.,3
1741112781.218,Sent message to VM 1: clock is now 153.,3
1741112781.218,Sent message to VM 2: clock is now 154.,3
1741112781.557,Internal event: clock ticked to 155.,3
1741112781.893,Received message: updated clock to 159. Queue length: 0,3
1741112782.229,Internal event: clock ticked to 160.,3
1741112782.566,Received message: updated clock to 163. Queue length: 0,3
1741112782.904,Received message: updated clock to 164. Queue length: 0,3
1741112783.242,Internal event: clock ticked to 165.,3
1741112783.577,Received message: updated clock to 167. Queue length: 0,3
1741112783.911,Sent message to VM 1: clock is now 168.,3
1741112784.250,Received message: updated clock to 173. Queue length: 0,3
1741112784.585,Received message: updated clock to 175. Queue length: 0,3
1741112784.923,Received message: updated clock to 177. Queue length: 1,3
1741112785.259,Received message: updated clock to 179. Queue length: 1,3
1741112785.597,Received message: updated clock to 180. Queue length: 0,3
1741112785.934,Sent message to VM 2: clock is now 181.,3
1741112786.271,Internal event: clock ticked to 182.,3
1741112786.610,Received message: updated clock to 186. Queue length: 0,3
1741112786.949,Received message: updated clock to 188. Queue length: 0,3
1741112787.287,Received message: updated clock to 190. Queue length: 0,3
1741112787.623,Internal event: clock ticked to 191.,3
1741112787.960,Internal event: clock ticked to 192.,3
1741112788.297,Received message: updated clock to 195. Queue length: 0,3
1741112788.634,Sent message to VM 1: clock is now 196.,3
1741112788.634,Sent message to VM 2: clock is now 197.,3
1741112788.971,Sent message to VM 1: clock is now 198.,3
1741112788.971,Sent message to VM 2: clock is now 199.,3
1741112789.310,Internal event: clock ticked to 200.,3
1741112789.648,Received message: updated clock to 202. Queue length: 0,3
1741112789.987,Internal event: clock ticked to 203.,3
1741112790.321,Internal event: clock ticked to 204.,3
1741112790.660,Sent message to VM 2: clock is now 205.,3
1741112790.996,Sent message to VM 1: clock is now 206.,3
1741112791.332,Received message: updated clock to 211. Queue length: 0,3
1741112791.668,Received message: updated clock to 212. Queue length: 0,3
1741112792.003,Sent message to VM 2: clock is now 213.,3
1741112792.344,Sent message to VM 1: clock is now 214.,3
1741112792.346,Sent message to VM 2: clock is now 215.,3
1741112792.682,Internal event: clock ticked to 216.,3
1741112793.017,Internal event: clock ticked to 217.,3
1741112793.363,Received message: updated clock to 219. Queue length: 1,3
1741112793.702,Received message: updated clock to 221. Queue length: 1,3
1741112794.040,Received message: updated clock to 222. Queue length: 1,3
1741112794.376,Received message: updated clock to 223. Queue length: 0,3
1741112794.714,Received message: updated clock to 228. Queue length: 0,3
1741112795.049,Sent message to VM 2: clock is now 229.,3
1741112795.388,Internal event: clock ticked to 230.,3
1741112795.724,Internal event: clock ticked to 231.,3
1741112796.059,Internal event: clock ticked to 232.,3
1741112796.398,Internal event: clock ticked to 233.,3
1741112796.736,Sent message to VM 2: clock is now 234.,3
1741112797.075,Internal event: clock ticked to 235.,3
1741112797.413,Received message: updated clock to 241. Queue length: 0,3
1741112797.750,Received message: updated clock to 243. Queue length: 0,3
1741112798.086,Internal event: clock ticked to 244.,3
1741112798.422,Received message: updated clock to 248. Queue length: 0,3
1741112798.761,Internal event: clock ticked to 249.,3
1741112799.099,Received message: updated clock to 250. Queue length: 0,3
1741112799.438,Received message: updated clock to 254. Queue length: 0,3
1741112799.775,Sent message to VM 1: clock is now 255.,3
1741112799.775,Sent message to VM 2: clock is now 256.,3
1741112800.111,Internal event: clock ticked to 257.,3
1741112800.449,Received message: updated clock to 259. Queue length: 0,3
1741112800.788,Received message: updated clock to 261. Queue length: 0,3
1741112801.123,Internal event: clock ticked to 262.,3
1741112801.462,Internal event: clock ticked to 263.,3
1741112801.797,Internal event: clock ticked to 264.,3
