Timestamp,Event,VM_ID
1741113659.119,Network: Listening on 127.0.0.1:5003,3
1741113659.143,Network: Connected to peer VM 1 at 127.0.0.1:5001,3
1741113659.147,"Network: Accepted connection from ('127.0.0.1', 56171)",3
1741113659.147,"Network: Accepted connection from ('127.0.0.1', 56172)",3
1741113659.151,Network: Connected to peer VM 2 at 127.0.0.1:5002,3
1741113659.151,Received message: updated clock to 2. Queue length: 0,3
1741113659.357,Internal event: clock ticked to 3.,3
1741113659.560,Internal event: clock ticked to 4.,3
1741113659.766,Internal event: clock ticked to 5.,3
1741113659.967,Internal event: clock ticked to 6.,3
1741113660.172,Internal event: clock ticked to 7.,3
1741113660.377,Internal event: clock ticked to 8.,3
1741113660.583,Sent message to VM 2: clock is now 9.,3
1741113660.788,Received message: updated clock to 10. Queue length: 0,3
1741113660.990,Sent message to VM 2: clock is now 11.,3
1741113661.193,Sent message to VM 1: clock is now 12.,3
1741113661.398,Internal event: clock ticked to 13.,3
1741113661.600,Sent message to VM 1: clock is now 14.,3
1741113661.801,Internal event: clock ticked to 15.,3
1741113662.006,Internal event: clock ticked to 16.,3
1741113662.211,Sent message to VM 1: clock is now 17.,3
1741113662.414,Sent message to VM 1: clock is now 18.,3
1741113662.616,Internal event: clock ticked to 19.,3
1741113662.821,Sent message to VM 1: clock is now 20.,3
1741113663.025,Internal event: clock ticked to 21.,3
1741113663.226,Sent message to VM 1: clock is now 22.,3
1741113663.226,Sent message to VM 2: clock is now 23.,3
1741113663.431,Internal event: clock ticked to 24.,3
1741113663.635,Internal event: clock ticked to 25.,3
1741113663.838,Internal event: clock ticked to 26.,3
1741113664.043,Sent message to VM 1: clock is now 27.,3
1741113664.246,Sent message to VM 1: clock is now 28.,3
1741113664.246,Sent message to VM 2: clock is now 29.,3
1741113664.451,Internal event: clock ticked to 30.,3
1741113664.657,Internal event: clock ticked to 31.,3
1741113664.862,Internal event: clock ticked to 32.,3
1741113665.066,Internal event: clock ticked to 33.,3
1741113665.271,Sent message to VM 1: clock is now 34.,3
1741113665.476,Internal event: clock ticked to 35.,3
1741113665.677,Internal event: clock ticked to 36.,3
1741113665.881,Internal event: clock ticked to 37.,3
1741113666.086,Internal event: clock ticked to 38.,3
1741113666.291,Internal event: clock ticked to 39.,3
1741113666.495,Internal event: clock ticked to 40.,3
1741113666.698,Internal event: clock ticked to 41.,3
1741113666.900,Received message: updated clock to 42. Queue length: 0,3
1741113667.106,Internal event: clock ticked to 43.,3
1741113667.311,Sent message to VM 1: clock is now 44.,3
1741113667.311,Sent message to VM 2: clock is now 45.,3
1741113667.519,Internal event: clock ticked to 46.,3
1741113667.724,Internal event: clock ticked to 47.,3
1741113667.927,Internal event: clock ticked to 48.,3
1741113668.132,Sent message to VM 1: clock is now 49.,3
1741113668.337,Sent message to VM 1: clock is now 50.,3
1741113668.337,Sent message to VM 2: clock is now 51.,3
1741113668.538,Internal event: clock ticked to 52.,3
1741113668.743,Internal event: clock ticked to 53.,3
1741113668.947,Sent message to VM 2: clock is now 54.,3
1741113669.152,Sent message to VM 2: clock is now 55.,3
1741113669.353,Internal event: clock ticked to 56.,3
1741113669.557,Internal event: clock ticked to 57.,3
1741113669.760,Sent message to VM 1: clock is now 58.,3
1741113669.963,Internal event: clock ticked to 59.,3
1741113670.168,Sent message to VM 1: clock is now 60.,3
1741113670.168,Sent message to VM 2: clock is now 61.,3
1741113670.371,Internal event: clock ticked to 62.,3
1741113670.577,Internal event: clock ticked to 63.,3
1741113670.781,Internal event: clock ticked to 64.,3
1741113670.984,Internal event: clock ticked to 65.,3
1741113671.184,Internal event: clock ticked to 66.,3
1741113671.388,Internal event: clock ticked to 67.,3
1741113671.592,Internal event: clock ticked to 68.,3
1741113671.795,Internal event: clock ticked to 69.,3
1741113672.000,Internal event: clock ticked to 70.,3
1741113672.203,Sent message to VM 1: clock is now 71.,3
1741113672.407,Internal event: clock ticked to 72.,3
1741113672.611,Internal event: clock ticked to 73.,3
1741113672.816,Sent message to VM 1: clock is now 74.,3
1741113673.018,Internal event: clock ticked to 75.,3
1741113673.223,Sent message to VM 1: clock is now 76.,3
1741113673.223,Sent message to VM 2: clock is now 77.,3
1741113673.427,Internal event: clock ticked to 78.,3
1741113673.632,Internal event: clock ticked to 79.,3
1741113673.837,Internal event: clock ticked to 80.,3
1741113674.039,Sent message to VM 2: clock is now 81.,3
1741113674.243,Internal event: clock ticked to 82.,3
1741113674.448,Internal event: clock ticked to 83.,3
1741113674.650,Internal event: clock ticked to 84.,3
1741113674.855,Received message: updated clock to 85. Queue length: 0,3
1741113675.057,Internal event: clock ticked to 86.,3
1741113675.263,Internal event: clock ticked to 87.,3
1741113675.466,Internal event: clock ticked to 88.,3
1741113675.670,Sent message to VM 2: clock is now 89.,3
1741113675.875,Internal event: clock ticked to 90.,3
1741113676.081,Internal event: clock ticked to 91.,3
1741113676.283,Received message: updated clock to 92. Queue length: 0,3
1741113676.487,Sent message to VM 1: clock is now 93.,3
1741113676.688,Sent message to VM 2: clock is now 94.,3
1741113676.893,Sent message to VM 2: clock is now 95.,3
1741113677.096,Internal event: clock ticked to 96.,3
1741113677.301,Internal event: clock ticked to 97.,3
1741113677.502,Internal event: clock ticked to 98.,3
1741113677.706,Internal event: clock ticked to 99.,3
1741113677.906,Sent message to VM 1: clock is now 100.,3
1741113677.907,Sent message to VM 2: clock is now 101.,3
1741113678.111,Internal event: clock ticked to 102.,3
1741113678.315,Internal event: clock ticked to 103.,3
1741113678.518,Internal event: clock ticked to 104.,3
1741113678.723,Internal event: clock ticked to 105.,3
1741113678.928,Internal event: clock ticked to 106.,3
1741113679.131,Internal event: clock ticked to 107.,3
1741113679.336,Internal event: clock ticked to 108.,3
1741113679.539,Internal event: clock ticked to 109.,3
1741113679.744,Internal event: clock ticked to 110.,3
1741113679.948,Internal event: clock ticked to 111.,3
1741113680.150,Internal event: clock ticked to 112.,3
1741113680.355,Internal event: clock ticked to 113.,3
1741113680.556,Internal event: clock ticked to 114.,3
1741113680.760,Internal event: clock ticked to 115.,3
1741113680.962,Received message: updated clock to 116. Queue length: 0,3
1741113681.164,Internal event: clock ticked to 117.,3
1741113681.364,Received message: updated clock to 118. Queue length: 0,3
1741113681.570,Sent message to VM 1: clock is now 119.,3
1741113681.774,Sent message to VM 2: clock is now 120.,3
1741113681.977,Internal event: clock ticked to 121.,3
1741113682.182,Sent message to VM 1: clock is now 122.,3
1741113682.182,Sent message to VM 2: clock is now 123.,3
1741113682.387,Internal event: clock ticked to 124.,3
1741113682.590,Sent message to VM 2: clock is now 125.,3
1741113682.793,Internal event: clock ticked to 126.,3
1741113682.995,Received message: updated clock to 127. Queue length: 0,3
1741113683.200,Internal event: clock ticked to 128.,3
1741113683.400,Received message: updated clock to 129. Queue length: 0,3
1741113683.606,Internal event: clock ticked to 130.,3
1741113683.807,Sent message to VM 1: clock is now 131.,3
1741113683.807,Sent message to VM 2: clock is now 132.,3
1741113684.008,Sent message to VM 1: clock is now 133.,3
1741113684.008,Sent message to VM 2: clock is now 134.,3
1741113684.208,Sent message to VM 2: clock is now 135.,3
1741113684.413,Sent message to VM 1: clock is now 136.,3
1741113684.616,Internal event: clock ticked to 137.,3
1741113684.820,Internal event: clock ticked to 138.,3
1741113685.025,Sent message to VM 1: clock is now 139.,3
1741113685.230,Internal event: clock ticked to 140.,3
1741113685.433,Internal event: clock ticked to 141.,3
1741113685.636,Sent message to VM 1: clock is now 142.,3
1741113685.840,Sent message to VM 2: clock is now 143.,3
1741113686.043,Internal event: clock ticked to 144.,3
1741113686.246,Sent message to VM 1: clock is now 145.,3
1741113686.247,Sent message to VM 2: clock is now 146.,3
1741113686.451,Internal event: clock ticked to 147.,3
1741113686.656,Internal event: clock ticked to 148.,3
1741113686.861,Received message: updated clock to 149. Queue length: 0,3
1741113687.066,Internal event: clock ticked to 150.,3
1741113687.267,Sent message to VM 1: clock is now 151.,3
1741113687.469,Sent message to VM 1: clock is now 152.,3
1741113687.470,Sent message to VM 2: clock is now 153.,3
1741113687.674,Internal event: clock ticked to 154.,3
1741113687.881,Sent message to VM 1: clock is now 155.,3
1741113688.085,Sent message to VM 2: clock is now 156.,3
1741113688.290,Internal event: clock ticked to 157.,3
1741113688.497,Internal event: clock ticked to 158.,3
1741113688.701,Internal event: clock ticked to 159.,3
1741113688.905,Internal event: clock ticked to 160.,3
1741113689.106,Internal event: clock ticked to 161.,3
1741113689.307,Internal event: clock ticked to 162.,3
1741113689.509,Sent message to VM 1: clock is now 163.,3
1741113689.714,Sent message to VM 1: clock is now 164.,3
